姓名,属性,弱点,身高,体重,特征,分类,图鉴信息,附加信息,
步哨鼠,一般,格斗,1.1,27,发光,警戒寶可夢,透過體內的發光物質讓眼珠或身體變得閃閃發亮，使來襲的敵人畏縮。,让周围变亮，变得容易遇见野生的宝可梦。特性锐利目光靠著锐利的目光，命中率不会被降低。,
小约克,一般,格斗,0.4,4.1,干劲,小狗寶可夢,擁有優秀判斷力的寶可夢。一旦判斷自己無法戰勝對手，就會立刻夾著尾巴逃走，,透过激发出干劲，不会陷入睡眠状态。特捡拾有时会捡来对手用过的道具。冒险过程中也会捡来。,
哈约克,一般,格斗,0.9,14.7,威吓,忠犬寶可夢,黑色的體毛會隨著成長變得越來越堅硬結實，連爪子和牙齒也無法輕易穿透。,出场时威吓对手，使其退缩，从而降低对手的攻击。特拨沙天气为沙暴时，速度会提高。,
长毛狗,一般,格斗,1.2,61,威吓,寬大寶可夢,靠著又長又暖的毛皮，一點也不怕寒冷的天氣。但阿羅拉的長毛狗看起來有點難受。,出场时威吓对手，使其退缩，从而降低对手的攻击。特拨沙天气为沙暴时，速度会提高。,
扒手猫,恶,格斗虫妖精,0.4,10.1,柔软,壞心眼寶可夢,為了要看見人們困擾的樣子而去偷盜他們的物品。和偷兒狐是競爭對手。,因为身体柔软，不会陷入麻痺状态。特轻装失去所持有的道具时，速度会提高。,
酷豹,恶,格斗虫妖精,1.1,37.5,柔软,冷酷寶可夢,雖然人們容易被牠美麗的毛皮和姿態所迷惑，但牠其實是一種善變而凶暴的寶可夢。,因为身体柔软，不会陷入麻痺状态。特轻装失去所持有的道具时，速度会提高。,
花椰猴,草,火冰毒飞行虫,0.6,10.5,贪吃鬼,草猴寶可夢,會把頭上的葉子分給沒有精神的寶可夢。葉子有消除疲勞的效果。,原本ＨＰ变得很少时才会吃的树果，在ＨＰ还有一半时就会把它吃掉。,
爆香猴,火,水地面岩石,0.6,11,贪吃鬼,高溫寶可夢,智商很高，有把樹果烤過再吃的習性。喜歡幫助人類。,原本ＨＰ变得很少时才会吃的树果，在ＨＰ还有一半时就会把它吃掉。,
爆香猿,火,水地面岩石,1,28,贪吃鬼,火花寶可夢,燃燒體內的火焰，從頭部與尾巴撒出火花，燒焦敵人。,原本ＨＰ变得很少时才会吃的树果，在ＨＰ还有一半时就会把它吃掉。,
冷水猴,水,草电,0.6,13.5,贪吃鬼,潑水寶可夢,頭上的毛髮叢裡儲藏的水營養非常豐富。牠會用尾巴拿這種水來灌溉草木。,原本ＨＰ变得很少时才会吃的树果，在ＨＰ还有一半时就会把它吃掉。,
冷水猿,水,草电,1,29,贪吃鬼,放水寶可夢,從尾巴發射出的高壓水柱，有著能把水泥牆也破壞掉的威力。,原本ＨＰ变得很少时才会吃的树果，在ＨＰ还有一半时就会把它吃掉。,
食梦梦,超能力,虫幽灵恶,0.6,23.3,预知梦,食夢寶可夢,會在深夜出現在枕頭邊。在吃夢的時候，身上的花紋會微微發亮。,出场时，预见1个对手持有的招式。特同步将自己的中毒、麻痺或灼伤状态传染给对手。,
梦梦蚀,超能力,虫幽灵恶,1.1,60.5,预知梦,半夢半醒寶可夢,在牠冒出黑黑的煙霧時，還是不要接近牠為妙，否則惡夢將會成真。,出场时，预见1个对手持有的招式。特同步将自己的中毒、麻痺或灼伤状态传染给对手。,
豆豆鸽,一般飞行,电冰岩石,0.3,2.1,健壮 ,小鴿寶可夢,會出現在人類生活的地方。一旦撒出飼料就會有好幾百隻豆豆鴿聚集而來，千萬要小心。,不会受到降低防御的效果影响。特超幸运因为非常幸运，容易击中对手的要害。,
咕咕鸽,一般飞行,电冰岩石,0.6,15,健壮,野鴿寶可夢,飛行速度不可小覷。無論飛到多遠的地方，都會記得自己的主人和巢。, 不会受到降低防御的效果影响。特超幸运因为非常幸运，容易击中对手的要害。,
高傲雉鸡,一般飞行,电冰岩石,1.2,29,健壮,自尊心寶可夢,雄性會搖晃頭上的飾羽威嚇對手。雌性擁有高於雄性的飛行能力。, 不会受到降低防御的效果影响。特超幸运因为非常幸运，容易击中对手的要害。,
斑斑马,电,地面,0.8,29.8,避雷针,帶電寶可夢,當天空雷雲密佈時就會出現。會用鬃毛捕捉雷電，儲存電力。,将电属的招式吸引到自己身上，不但不会受到伤害，反而会提高特攻。特电气引擎受到电属的招式攻击时，不但不会受到伤害，反而速度会提高。,
雷电斑马,电,地面,1.6,79.5,避雷针,雷電寶可夢,是有著粗暴性格的寶可夢。如果生氣，就會從鬃毛朝四面八方放電。,将电属的招式吸引到自己身上，不但不会受到伤害，反而会提高特攻。特电气引擎受到电属的招式攻击时，不但不会受到伤害，反而速度会提高。,
石丸子,岩石,水草格斗地面钢,0.4,18,结实,地幔寶可夢,幾乎和鐵一樣堅硬，但要是長時間浸在水裡，似乎就會稍微變軟一些。,在ＨＰ全满时受到招式攻击不会被一击打倒。一击必杀的招式也没有效果。特碎裂铠甲因物理招式受到伤害时，防御会降低，速度会大幅提高。,
地幔岩,岩石,水草格斗地面钢,0.9,102,结实,礦石寶可夢,橘色的結晶開始發光的時候，一定要特別小心，因為牠馬上就會射出能量。,在ＨＰ全满时受到招式攻击不会被一击打倒。一击必杀的招式也没有效果。特碎裂铠甲因物理招式受到伤害时，防御会降低，速度会大幅提高。,
庞岩怪,岩石,水草格斗地面钢,1.7,260,结实,高壓寶可夢,由於擁有健壯的身體，有時可以在工地或採石場看到牠和大王銅象還有人類一起工作。,在ＨＰ全满时受到招式攻击不会被一击打倒。一击必杀的招式也没有效果。特扬沙出场时，会把天气变为沙暴。,
滚滚蝙蝠,超能力飞行,电冰岩石幽灵恶,0.4,2.1,纯朴,蝙蝠寶可夢,在洞窟中，如果抬頭看到牆壁上留著心形的痕跡，就代表滾滾蝙蝠住在那裡。,可无视对手能力的变化，进行攻击。特笨拙无法使用持有的道具。,
心蝙蝠,超能力飞行,电冰岩石幽灵恶,0.9,10.5,纯朴,求愛寶可夢,在發出極其強力的音波後會陷入疲勞，暫時無法飛行。,可无视对手能力的变化，进行攻击。特笨拙无法使用持有的道具。,
螺钉地鼠,地面,水草冰,0.3,8.5,拨沙,鼴鼠寶可夢,會將雙掌上的爪子併攏，並讓身體高速旋轉，瞄準獵物衝過去。,天气为沙暴时，速度会提高。特沙之力沙暴天气时，岩石属、地面属和钢属,
龙头地鼠,地面钢,火水格斗地面,0.7,40.4,拨沙,地底寶可夢,有許多看似自然形成的洞窟其實都是龍頭地鼠一陣亂鑽之後留下來的。,天气为沙暴时，速度会提高。特沙之力沙暴天气时，岩石属、地面属和钢属,
差不多娃娃,一般,格斗,1.1,31,治愈之心,聽力寶可夢,透過耳朵上的觸角，不僅是對方的身體狀況，就連寶可夢何時從蛋裡孵出來都能知道。,有时会治愈同伴的异常状态。特再生力退回同行队伍后，ＨＰ会少量回復。,
超级差不多娃娃,一般妖精,毒钢,1.5,32,治愈之心,聽力寶可夢,透過耳朵上的觸角，不僅是對方的身體狀況，就連寶可夢何時從蛋裡孵出來都能知道。,有时会治愈同伴的异常状态。,
搬运小匠,格斗,飞行超能力妖精,0.6,12.5,毅力,筋骨寶可夢,喜歡幫忙做建築的工作。因為下雨而停工時，會亂揮木材大鬧一番。,陷入异常状态时，会拿出毅力，攻击会提高。特强行招式会失去追加效果，但可以用更高的威力使出招式。,
铁骨土人,格斗,飞行超能力妖精,1.2,40,毅力,筋骨寶可夢,與其他的夥伴還有豪力一起比拼肌肉。輸掉的那一方會暫時躲起來。,陷入异常状态时，会拿出毅力，攻击会提高。特强行招式会失去追加效果，但可以用更高的威力使出招式。,
修建老匠,格斗,飞行超能力妖精,1.4,87,毅力,筋骨寶可夢,即使成分相同，修建老匠攪拌的混凝土格外地堅硬結實。,陷入异常状态时，会拿出毅力，攻击会提高。特强行招式会失去追加效果，但可以用更高的威力使出招式。,
圆蝌蚪,水,草电,0.5,4.5,悠游自如,蝌蚪寶可夢,如果水面上擴散開美麗的波紋，就代表有圓蝌蚪正在水面下用高昂的聲音鳴叫。,天气为下雨时，速度会提高。特性湿润之躯天气为下雨时，会治癒异常状态。,
蓝蟾蜍,水地面,草,0.8,17,悠游自如,震動寶可夢,透過發出足以造成頭痛的音波來充分削弱獵物之後，用黏糊糊的舌頭將其捉住。,天气为下雨时，速度会提高。特湿润之躯天气为下雨时，会治癒异常状态。,
蟾蜍王,水地面,草,1.5,62,悠游自如,震動寶可夢,透過震動全身的瘤來引發地震般的晃動。與不良蛙是相近的物種。,天气为下雨时，速度会提高。特毒手有时仅是接触就能让对手中毒。,
投摔鬼,格斗,飞行超能力妖精,1.3,55.5,毅力,柔道寶可夢,能使出一流的投摔招式。帶子被戰鬥時流下的汗水浸濕，顏色越變越深。,陷入异常状态时，会拿出毅力，攻击会提高。特精神力靠着经过锻鍊的精神，不会因对手的攻击而畏缩。面对威吓也不会动摇。,
打击鬼,格斗,飞行超能力妖精,1.4,51,结实,空手道寶可夢,不斷地尋求強大的實力。要是看到了在山上修行的打擊鬼，就靜靜地離開吧。,在ＨＰ全满时受到招式攻击不会被一击打倒。一击必杀的招式也没有效果。特精神力靠着经过锻鍊的精神，不会因对手的攻击而畏缩。面对威吓也不会动摇。,
虫宝包,虫草,火冰毒飞行虫岩石,0.3,2.5,虫之预感,裁縫寶可夢,咬斷葉子，用口中吐出的黏絲來縫合。是會自己做衣服的寶可夢。,ＨＰ减少的时候，虫属的招式威力会提高。特叶绿素天气为晴朗时，速度会提高。,
宝包茧,虫草,火冰毒飞行虫岩石,0.5,7.3,叶子防守,足不出葉寶可夢,寶包繭居住的森林裡草木生長得特別繁盛。因為牠會將落葉轉化成養分。,天气为晴朗时，不会陷入异常状态。特叶绿素天气为晴朗时，速度会提高。,
保母虫,虫草,火冰毒飞行虫岩石,1.2,20.5,虫之预感,育兒寶可夢,一旦發現幼小的寶可夢，就會用口中吐出的黏絲為牠縫製葉子衣服。,ＨＰ减少的时候，虫属的招式威力会提高。特叶绿素天气为晴朗时，速度会提高。,
百足蜈蚣,虫毒,火飞行超能力岩石,0.4,5.3,毒刺,蜈蚣寶可夢,用頭與尾巴上的觸角探索周遭的狀況。性情非常凶暴。,有时会让接触到自己的对手陷入中毒状态。特虫之预感ＨＰ减少的时候，虫属的招式威力会提高。,
车轮毬,虫毒,火飞行超能力岩石,1.2,58.5,毒刺,繭蜈蚣寶可夢,被堅硬的殼保護著。會像輪胎般旋轉，並用身體猛烈撞擊敵人。,有时会让接触到自己的对手陷入中毒状态。特虫之预感ＨＰ减少的时候，虫属的招式威力会提高。,
蜈蚣王,虫毒,火飞行超能力岩石,2.5,200.5,毒刺,巨蜈蚣寶可夢,用頸部的爪子夾住獵物，使其動彈不得後，注入劇毒給予致命一擊。,有时会让接触到自己的对手陷入中毒状态。特虫之预感ＨＰ减少的时候，虫属的招式威力会提高。,
木棉球,草妖精,火冰毒飞行钢,0.3,0.6,恶作剧之心,棉球寶可夢,會噴出棉花保護身體。有時會被颱風吹到地球的另一邊。,可以抢先使出变化类招式。特穿透可穿透对手的屏障或替身进行攻击。,
风妖精,草妖精,火冰毒飞行钢,0.7,6.6,恶作剧之心,風隱寶可夢,喜歡到處撒棉花搗蛋。沾水之後就會變重而動彈不得，只能聽天由命,可以抢先使出变化类招式。特穿透可穿透对手的屏障或替身进行攻击。,
百合根娃娃,草,火冰毒飞行虫,0.5,6.6,叶绿素,根莖寶可夢,頭上的葉子就算掉了也會立刻長回來。葉子味道很苦，但拿來嚼卻能瞬間恢復精神。,天气为晴朗时，速度会提高。特我行我素因为我行我素，不会陷入溷乱状态。面对威吓也不会动摇。,
裙儿小姐,草,火冰毒飞行虫,1.1,16.3,叶绿素,花飾寶可夢,頭上的花飾會散發出聞了就能舒緩情緒的香氣，但卻極為難以照料。,天气为晴朗时，速度会提高。特我行我素因为我行我素，不会陷入溷乱状态。面对威吓也不会动摇。,
野蛮鲈鱼,水,草电,1,18,捨身,粗暴寶可夢,性情暴躁，極具攻擊性。同時還擁有極高的生命力，數量會在不知不覺間增多。,会让自己因反作用力而受伤的招式威力会提高。特适应力与自身同属的招式威力会提高。,
黑眼鳄,地面恶,水草冰格斗虫妖精,0.7,15.2,威吓,沙漠鱷魚寶可夢,潛藏在沙中像游泳一樣移動。這是種兼具不被敵人發現和保持體溫效果的生存智慧。,出场时威吓对手，使其退缩，从而降低对手的攻击。特自信过度如果打倒对手，会充满自信并提高攻击。,
溷溷鳄,地面恶,水草冰格斗虫妖精,1,33.4,威吓,沙漠鱷魚寶可夢,由於雙眼覆蓋著薄膜，在半夜中也能看見四周。會和多隻同類組成群體生活。,出场时威吓对手，使其退缩，从而降低对手的攻击。特自信过度如果打倒对手，会充满自信并提高攻击。,
流氓鳄,地面恶,水草冰格斗虫妖精,1.5,96.3,威吓,威嚇寶可夢,用強力的顎咬住後，狠狠地扭動身體，將獵物切斷。,出场时威吓对手，使其退缩，从而降低对手的攻击。特自信过度如果打倒对手，会充满自信并提高攻击。,
火红不倒翁,火,水地面岩石,0.6,37.5,活力,不倒翁寶可夢,能量之源是體內的火焰。如果火焰變小了，牠馬上就會睡著。,自己的攻击虽会变高，但命中率会降低。,
达摩狒狒,火,水地面岩石,1.3,92.9,强行,爆燃寶可夢,總是熱血沸騰的寶可夢。牠厚重的手臂使出的拳擊甚至能把砂石車打得粉碎。,招式会失去追加效果，但可以用更高的威力使出招式。,
沙铃仙人掌,草,火冰毒飞行虫,1,28,储水,仙人掌寶可夢,會發出沙鈴般的聲音。鳥寶可夢會因那輕快的節奏而受驚飛走。,受到水属的招式攻击时，不会受到伤害，而是会回復。特叶绿素天气为晴朗时，速度会提高。,
石居蟹,虫岩石,水岩石钢,0.3,14.5,结实,石居寶可夢,會在自己喜歡的石頭上開洞當成住所。對石丸子還有小炭仔來說是天敵。,在ＨＰ全满时受到招式攻击不会被一击打倒。一击必杀的招式也没有效果。特硬壳盔甲被坚硬的壳保护着，对手的攻击不会击中要害。,
岩殿居蟹,虫岩石,水岩石钢,1.4,200,结实,岩居寶可夢,喜歡乾燥的地方，下雨時不會從岩石裡出來。有著很強的地盤意識。,在ＨＰ全满时受到招式攻击不会被一击打倒。一击必杀的招式也没有效果。特硬壳盔甲被坚硬的壳保护着，对手的攻击不会击中要害。,
滑滑小子,恶格斗,格斗飞行妖精,0.6,11.8,蜕皮,蛻皮寶可夢,與牠視線交會是很危險的！不管對手是誰，牠都會用頭錘招呼，是個難搞的傢伙。,透过蜕去身上的皮，有时会治癒异常状态。特自信过度如果打倒对手，会充满自信并提高攻击。,
头巾溷溷,恶格斗,格斗飞行妖精,1.1,30,蜕皮,惡黨寶可夢,牠看似無精打采的踢擊其實擁有足以擊碎修建老匠手中混凝土的破壞力。,透过蜕去身上的皮，有时会治癒异常状态。特自信过度如果打倒对手，会充满自信并提高攻击。,
象徵鸟,超能力飞行,电冰岩石幽灵恶,1.4,14,奇迹皮肤,似鳥寶可夢,利用精神力量在空中飛翔，被稱為古代都市的守護神。也有人認為牠是守護神的使者。,不易受到变化类招式攻击的身体。特魔法防守不会受到攻击以外的伤害。,
哭哭面具,幽灵,幽灵恶,0.5,1.5,木乃伊,魂寶可夢,每天夜裡都在遺跡中徘徊。據說牠拿著的面具是牠還是人類時的臉。,被对手接触到时，会将对手变成木乃伊。,
死神棺,幽灵,幽灵恶,1.7,76.5,木乃伊,棺木寶可夢,擁有閃亮亮的黃金身軀。據說牠已再也無法記起自己曾經是人類。,被对手接触到时，会将对手变成木乃伊。,
原盖海龟,水岩石,草电格斗地面,0.7,16.5,坚硬岩石,古代龜寶可夢,從古代的化石復活而來。當時是生活在海裡，但也會到陸地上來尋找獵物。,受到效果绝佳的攻击时，可减弱其威力。特结实在ＨＰ全满时受到招式攻击不会被一击打倒。一击必杀的招式也没有效果。,
肋骨海龟,水岩石,草电格斗地面,1.2,81,坚硬岩石,古代龜寶可夢,下巴的力量非常驚人，連多刺菊石獸和菊石獸的殼也能輕而易舉地整個吃掉。,受到效果绝佳的攻击时，可减弱其威力。特结实在ＨＰ全满时受到招式攻击不会被一击打倒。一击必杀的招式也没有效果。,
始祖小鸟,岩石飞行,水电冰岩石钢,0.5,9.5,软弱,遠古鳥寶可夢,一直以來被認為是所有鳥寶可夢的祖先，但最近也有研究指出事實並非如此。,ＨＰ降到一半以下时，会变得软弱而使得攻击和特攻减半。,
始祖大鸟,岩石飞行,水电冰岩石钢,1.4,32,软弱,遠古鳥寶可夢,古代的寶可夢。因為羽毛很細，若不是由熟練的師傅來動手，就無法成功復原。,ＨＰ降到一半以下时，会变得软弱而使得攻击和特攻减半。,
破破袋,毒,地面超能力,0.6,31,恶臭,垃圾袋寶可夢,喜歡不衛生的地方。如果不及時清理家裡的垃圾，破破袋就會過來居住。,发出臭气，在攻击的时候，有时会使对手畏缩。特黏着道具会黏在具有黏的身体上，不会被对手夺走。,
灰尘山,毒,地面超能力,1.9,107.3,恶臭,垃圾場寶可夢,吃掉的垃圾會在體內轉化為毒素。毒素的成分會隨著吃掉的垃圾而不同。,发出臭气，在攻击的时候，有时会使对手畏缩。特碎裂铠甲因物理招式受到伤害时，防御会降低，速度会大幅提高。,
索罗亚,恶,格斗虫妖精,0.7,12.5,幻觉,惡狐寶可夢,會幻化成對手的樣子嚇唬對方。似乎經常幻化成沉默寡言的小孩。,假扮成同行队伍中的最后一个宝可梦出场，迷惑对手。,
索罗亚克,一般幽灵,恶,1.6,73,幻觉,妖狐寶可夢,據說索羅亞克會把企圖捕捉牠的人關在虛幻的景色裡給予教訓。,假扮成同行队伍中的最后一个宝可梦出场，迷惑对手。,
泡沫栗鼠,一般,格斗,0.4,5.8,迷人之躯,栗鼠寶可夢,用尾巴來清掃灰塵。雖說能幫忙打掃是件好事，但牠的潔癖也會讓人感到棘手。,有时会让接触到自己的对手陷入着迷状态。特技术高手可让威力低的招式提高威力来进行攻击。,
奇诺栗鼠,一般,格斗,0.5,7.5,迷人之躯,圍巾寶可夢,潔癖使得牠連一絲灰塵都無法容忍，會把自己身上滲出的油塗在巢上保持清潔。,有时会让接触到自己的对手陷入着迷状态。特技术高手可让威力低的招式提高威力来进行攻击。,
哥德宝宝,超能力,虫幽灵恶,0.4,5.8,察觉,凝視寶可夢,總是一副天真無邪的樣子。看見肉眼看不見的東西時，就會眼都不眨地一語不發。,出场时，可以察觉对手的持有物。特好胜被对手降低能力时，特攻会大幅提高。,
哥德小童,超能力,虫幽灵恶,0.7,18,察觉,操縱寶可夢,一定要小心星光閃閃的夜晚。因為牠會帶走被牠施了催眠術而睡著的小孩。,出场时，可以察觉对手的持有物。特好胜被对手降低能力时，特攻会大幅提高。,
哥德小姐,超能力,虫幽灵恶,1.5,44,察觉,天體寶可夢,會釋放出精神力量，讓對手夢見宇宙終結的夢。內容似乎既虛幻又美麗。,出场时，可以察觉对手的持有物。特好胜被对手降低能力时，特攻会大幅提高。,
单卵细胞球,超能力,虫幽灵恶,0.3,1,防尘,細胞寶可夢,透過心靈感應來與夥伴交流。如果受到了強烈的衝擊，包裹著身體的液體就會漏出來。,不会受到沙暴的伤害。也不会受到粉末或孢子的影响。特魔法防守不会受到攻击以外的伤害。,
人造细胞卵,超能力,虫幽灵恶,1,20.1,防尘,增幅寶可夢,比起使用超能力，牠更喜歡靠著揮動自傲的手臂來打倒對手。,不会受到沙暴的伤害。也不会受到粉末或孢子的影响。特魔法防守不会受到攻击以外的伤害。,
鸭宝宝,水飞行,电岩石,0.5,5.5,锐利目光,水鳥寶可夢,受到敵人襲擊時，會從全身上下的羽毛噴出水花。混在一片水霧中逃之夭夭。,靠着锐利的目光，命中率不会被降低。特健壮胸肌不会受到降低防御的效果影响。,
舞天鹅,水飞行,电岩石,1.3,24.2,锐利目光,白鳥寶可夢,有著優雅的外表，但卻可以有力地拍動翅膀，持續飛行數千公里。,靠着锐利的目光，命中率不会被降低。特健壮胸肌不会受到降低防御的效果影响。,
迷你冰,冰,火格斗岩石钢,0.4,5.7,冰冻之躯,新雪寶可夢,無法在炎熱的地方生存。會吐出冷氣來降雪，然後窩在積雪裡睡覺。,天气为下雪时，会渐渐回復ＨＰ。特雪隐天气为下雪时，闪避率会提高。,
多多冰,冰,火格斗岩石钢,1.1,41,冰冻之躯,冰雪寶可夢,透過喝下乾淨的水來讓自己的冰雪身軀成長。天氣好的時候很少看到牠。,天气为下雪时，会渐渐回復ＨＰ。特雪隐天气为下雪时，闪避率会提高。,
双倍多多冰,冰,火格斗岩石钢,1.3,57.5,冰冻之躯,暴風雪寶可夢,當憤怒達到極限時，就會噴出暴風雪，把敵人和夥伴都凍成冰塊。,天气为下雪时，会渐渐回復ＨＰ。特降雪出场时，会将天气变为下雪。,
四季鹿,一般草,火冰格斗毒飞行虫,0.6,19.5,叶绿素,季節寶可夢,氣味會隨季節變遷而改變。初春的氣味略帶香甜，能使情緒穩定下來。,天气为晴朗时，速度会提高。特食草受到草属的招式攻击时，不但不会受到伤害，反而攻击会提高。,
萌芽鹿,一般草,火冰格斗毒飞行虫,1.9,92.5,叶绿素,季節寶可夢,角上有很多花的萌芽鹿由於會被花搶走養分，而導致成長速度略顯緩慢。,天气为晴朗时，速度会提高。特食草受到草属的招式攻击时，不但不会受到伤害，反而攻击会提高。,
电飞鼠,电飞行,冰岩石,0.4,5,静电,飛鼠寶可夢,蓄著電在空中飛行。在雷電交加的深夜裡，牠們甚至會密密麻麻地佈滿整個天空。,身上带有静电，有时会令接触到的对手麻痺。,
盖盖虫,虫,火飞行岩石,0.5,5.9,虫之预感,啃咬寶可夢,有著會對電能產生反應的奇異體質。和小嘴蝸待在一起就會進化。,ＨＰ减少的时候，虫属的招式威力会提高。特蜕皮透过蜕去身上的皮，有时会治癒异常状态。,
骑士蜗牛,虫钢,火,1,33,虫之预感,騎兵寶可夢,搶走小嘴蝸的殼，將自己全副武裝。在伽勒爾地區，騎士蝸牛非常受到人們喜愛。, ＨＰ减少的时候，虫属的招式威力会提高。特硬壳盔甲被坚硬的壳保护着，对手的攻击不会击中要害。,
哎呀球菰,草毒,火冰飞行超能力,0.2,1,孢子,蘑菇寶可夢,據說開發精靈球的人很喜歡哎呀球菇，但不知是真是假。,透过攻击有时会使接触到自己的对手，陷入中毒、麻痺或睡眠状态。,
败露球菰,草毒,火冰飞行超能力,0.6,10.5,孢子,蘑菇寶可夢,小心牠噴出的毒孢子。因為被噴到的地方會長出蘑菇，形狀像是敗露球菇的菌傘。,透过攻击有时会使接触到自己的对手，陷入中毒、麻痺或睡眠状态。,
轻飘飘,水幽灵,草电幽灵恶,1.2,33,储水,漂浮寶可夢,會用薄紗般的手腳纏住獵物，將對手拖進８０００公尺深的海中。,受到水属的招式攻击时，不会受到伤害，而是会回復。特诅咒之躯受到攻击时，有时会把对手的招式变为定身法状态。,
胖嘟嘟,水幽灵,草电幽灵恶,2.2,135,储水,漂浮寶可夢,身體的絕大部分都由與海水相同的成分組成。會把沉船當成自己的城堡。,受到水属的招式攻击时，不会受到伤害，而是会回復。特诅咒之躯受到攻击时，有时会把对手的招式变为定身法状态。,
保母曼波,水,草电,1.2,31.6,治癒之心,看護寶可夢,會用魚鰭溫柔地抱住受傷或是虛弱的寶可夢，並用特殊的黏膜加以治療。,有时会治癒同伴的异常状态。特湿润之躯天气为下雨时，会治癒异常状态。,
电电虫,虫电,火岩石,0.1,0.6,复眼,吸附寶可夢,會附在寶可夢的身上吸收靜電。自身並沒有製造電的能力。,因为拥有复眼，会提高招式的命中率。特紧张感让对手感到紧张，无法吃树果。,
电蜘蛛,虫电,火岩石,0.8,14.3,复眼,電蜘蛛寶可夢,發射腹部帶電的毛來攻擊。要是被牠的毛刺中，就會全身麻痺三天三夜。,因为拥有复眼，会提高招式的命中率。特紧张感让对手感到紧张，无法吃树果。,
种子铁球,草钢,火格斗,0.6,18.8,铁刺,刺果寶可夢,會發射尖刺來保護自己。需要反覆訓練才能將尖刺準確地射中目標。,用铁刺给予接触到自己的对手伤害。,
坚果哑铃,草钢,火格斗,1,110,铁刺,刺球寶可夢,用尖刺刺裂岩壁之後，牠會用觸手的尖端接觸裂縫吸收營養。,用铁刺给予接触到自己的对手伤害。,
齿轮儿,钢,火格斗地面,0.3,21,正电,齒輪寶可夢,２個身體比雙胞胎還要親近。要是換成別的齒輪兒，就沒有辦法好好咬合。,正电场上的伙伴之中，如果有正电或负电特性的宝可梦，自己的特攻会提高。特性负电场上的伙伴之中，如果有正电或负电特性的宝可梦，自己的特攻会提高。,
齿轮组,钢,火格斗地面,0.6,51,正电,齒輪寶可夢,如果認真起來，大齒輪外圈的齒輪會和小齒輪完全接合。此時轉速將會大幅提升。,正电场上的伙伴之中，如果有正电或负电特性的宝可梦，自己的特攻会提高。特性负电场上的伙伴之中，如果有正电或负电特性的宝可梦，自己的特攻会提高。,
麻麻小鱼,电,地面,0.2,0.3,飘浮,齒輪寶可夢,會從尖刺的前端發出強力電擊。紅色核心裡填充著非常多的能量。,从地面浮起，从而不会受到地面属招式的攻击。,
麻麻鳗,电,地面,1.2,22,飘浮,電魚寶可夢,圓圓的花紋是發電器官。會先纏住對手，然後把花紋壓在對手身上後放出電流。,从地面浮起，从而不会受到地面属招式的攻击。,
麻麻鳗鱼王,电,地面,2.1,80.5,飘浮,電魚寶可夢,用手臂的力量從大海裡爬出，襲擊水邊的獵物。會瞬間將獵物拖入海中。,从地面浮起，从而不会受到地面属招式的攻击。,
小灰怪,超能力,虫幽灵恶,0.5,9,心灵感应,腦寶可夢,當牠站在電視機旁邊時，畫面上會出現奇怪的景色。據說那是牠的故鄉。,预测我方的攻击，并闪避其招式。特同步将自己的中毒、麻痺或灼伤状态传染给对手。,
大宇怪,超能力,虫幽灵恶,1.0 ,34.5,心靈感應,腦寶可夢,如果大宇怪出現在牧場裡，那麼就會有１隻毛毛角羊在不知不覺間消失。,,
烛光灵,幽灵火,水地面岩石幽灵恶,0.3,3.1,引火,蠟燭寶可夢,頭上燃燒著的燭光讓牠的身體保持微熱。會拉著迷路孩子的手，將他們帶向靈界。,受到火属的招式攻击时，吸收火焰，让自己使出的火属招式变强。特火焰之躯有时会让接触到自己的对手陷入灼伤状态。,
灯火幽灵,幽灵火,水地面岩石幽灵恶,0.6,13,引火,油燈寶可夢,由於牠會在人類臨終時出現，人們因此認為牠是死神的使者，對牠畏懼不已。,受到火属的招式攻击时，吸收火焰，让自己使出的火属招式变强。特火焰之躯有时会让接触到自己的对手陷入灼伤状态。,
水晶灯火灵,幽灵火,水地面岩石幽灵恶,1,34.3,引火,引誘寶可夢,住在古老的洋樓裡。詭異地搖晃手臂上的火焰，以此來催眠對手。,受到火属的招式攻击时，吸收火焰，让自己使出的火属招式变强。特火焰之躯有时会让接触到自己的对手陷入灼伤状态。,
牙牙,龙,冰龙妖精,0.6,18,斗争心,牙寶可夢,居住在建造於地面的巢穴。古時候的人曾經拿牠的牙齒來代替菜刀。,面对别相同的对手，会燃起斗争心，变得更强。面对别不同的对手时则会变弱。特破格可不受特,
斧牙龙,龙,冰龙妖精,1,36,斗争心,顎斧寶可夢,牙齒一旦折斷就不會再次生長，因此除非是關鍵時刻，牠都會避免使用牙齒。,面对别相同的对手，会燃起斗争心，变得更强。面对别不同的对手时则会变弱。特破格可不受特,
双斧战龙,龙,冰龙妖精,1.8,105.5,斗争心,顎斧寶可夢,會把洞窟或廢礦山當成睡床。平時個性溫順，但牙齒一旦被摸到就會暴怒，千萬要小心。,面对别相同的对手，会燃起斗争心，变得更强。面对别不同的对手时则会变弱。特破格可不受特,
喷嚏熊,冰,火格斗岩石钢,0.5,8.5,雪隐,結冰寶可夢,經常出現在寒冷地帶的海邊。沒掛著一沱鼻涕的時候，就代表牠可能是生病了。,天气为下雪时，闪避率会提高。特拨雪天气为下雪时，速度会提高。,
