编号,姓名,属性,弱点,数据,imgs
529,螺钉地鼠,地面,水草冰,身高0.3 m分類鼴鼠寶可夢體重8.5 kg性別/特性撥沙沙之力特性撥沙天氣為沙暴時，速度會提高。特性沙之力沙暴天氣時，岩石屬性、地面屬性和鋼屬性招式的威力會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/50900f0a398f5971589345312b17ba475f36668c.png
530,龙头地鼠,地面鋼,火水格鬥地面,身高0.7 m分類地底寶可夢體重40.4 kg性別/特性撥沙沙之力特性撥沙天氣為沙暴時，速度會提高。特性沙之力沙暴天氣時，岩石屬性、地面屬性和鋼屬性招式的威力會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/f44eb698f802a20540ea999d7aa7d301d159506b.png
531,差不多娃娃,一般,格鬥,身高1.1 m分類聽力寶可夢體重31.0 kg性別/特性治癒之心再生力特性治癒之心有時會治癒同伴的異常狀態。特性再生力退回同行隊伍後，ＨＰ會少量回復。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/833d0a297a2a2da9bf5f5716f4ede3bbc0d50128.png
531,超级差不多娃娃,一般妖精,毒鋼,身高1.5 m分類聽力寶可夢體重32.0 kg性別/特性治癒之心特性治癒之心有時會治癒同伴的異常狀態。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/e6074b3205799fbb4b21250715494440530ffb0c.png
532,搬运小匠,格鬥,飛行超能力妖精,身高0.6 m分類筋骨寶可夢體重12.5 kg性別/特性毅力強行特性毅力陷入異常狀態時，會拿出毅力，攻擊會提高。特性強行招式會失去追加效果，但可以用更高的威力使出招式。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/065a1acb341a62db757dd55f88730a9c5e59ba2e.png
533,铁骨土人,格鬥,飛行超能力妖精,身高1.2 m分類筋骨寶可夢體重40.0 kg性別/特性毅力強行特性毅力陷入異常狀態時，會拿出毅力，攻擊會提高。特性強行招式會失去追加效果，但可以用更高的威力使出招式。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/276efea41b8ea6a566dbb51a3c65582eca9f8ecf.png
534,修建老匠,格鬥,飛行超能力妖精,身高1.4 m分類筋骨寶可夢體重87.0 kg性別/特性毅力強行特性毅力陷入異常狀態時，會拿出毅力，攻擊會提高。特性強行招式會失去追加效果，但可以用更高的威力使出招式。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/073c92e8d29fea596c1885d9f7ecbd3bd6d2f9f1.png
535,圆蝌蚪,水,草電,身高0.5 m分類蝌蚪寶可夢體重4.5 kg性別/特性悠游自如濕潤之軀特性悠游自如天氣為下雨時，速度會提高。特性濕潤之軀天氣為下雨時，會治癒異常狀態。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/69aa3915b724bf1725db2d5251ff0a58e39b9c97.png
536,蓝蟾蜍,水地面,草,身高0.8 m分類震動寶可夢體重17.0 kg性別/特性悠游自如濕潤之軀特性悠游自如天氣為下雨時，速度會提高。特性濕潤之軀天氣為下雨時，會治癒異常狀態。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/4216de014ca85c2c2c81241accf217e371f948ca.png
537,蟾蜍王,水地面,草,身高1.5 m分類震動寶可夢體重62.0 kg性別/特性悠游自如毒手特性悠游自如天氣為下雨時，速度會提高。特性毒手有時僅是接觸就能讓對手中毒。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/f2ff6d14c214a076b125e42291da5d61462fb2cf.png
538,投摔鬼,格鬥,飛行超能力妖精,身高1.3 m分類柔道寶可夢體重55.5 kg性別特性毅力精神力特性毅力陷入異常狀態時，會拿出毅力，攻擊會提高。特性精神力靠著經過鍛鍊的精神，不會因對手的攻擊而畏縮。面對威嚇也不會動搖。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/4e4f2fd67d78ade2f15c16c271a271c7506455d0.png
539,打击鬼,格鬥,飛行超能力妖精,身高1.4 m分類空手道寶可夢體重51.0 kg性別特性結實精神力特性結實在ＨＰ全滿時受到招式攻擊不會被一擊打倒。一擊必殺的招式也沒有效果。特性精神力靠著經過鍛鍊的精神，不會因對手的攻擊而畏縮。面對威嚇也不會動搖。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/eea9b5dae0506e7a00642125391b398a5c7471d8.png
540,虫宝包,蟲草,火冰毒飛行蟲岩石,身高0.3 m分類裁縫寶可夢體重2.5 kg性別/特性蟲之預感葉綠素特性蟲之預感ＨＰ減少的時候，蟲屬性的招式威力會提高。特性葉綠素天氣為晴朗時，速度會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/f9a1983b877f502fa4ff160e47eb882b4b5a5f68.png
541,宝包茧,蟲草,火冰毒飛行蟲岩石,身高0.5 m分類足不出葉寶可夢體重7.3 kg性別/特性葉子防守葉綠素特性葉子防守天氣為晴朗時，不會陷入異常狀態。特性葉綠素天氣為晴朗時，速度會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/6292853d0aaee114dca27697c06f6ec7ed675088.png
542,保母虫,蟲草,火冰毒飛行蟲岩石,身高1.2 m分類育兒寶可夢體重20.5 kg性別/特性蟲之預感葉綠素特性蟲之預感ＨＰ減少的時候，蟲屬性的招式威力會提高。特性葉綠素天氣為晴朗時，速度會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/8d0adfb56ce85d090fc34b0370c578d29bda5485.png
543,百足蜈蚣,蟲毒,火飛行超能力岩石,身高0.4 m分類蜈蚣寶可夢體重5.3 kg性別/特性毒刺蟲之預感特性毒刺有時會讓接觸到自己的對手陷入中毒狀態。特性蟲之預感ＨＰ減少的時候，蟲屬性的招式威力會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/b7a2e1c4b2c140412ae468a8b9ebcd9678243ba7.png
544,车轮毬,蟲毒,火飛行超能力岩石,身高1.2 m分類繭蜈蚣寶可夢體重58.5 kg性別/特性毒刺蟲之預感特性毒刺有時會讓接觸到自己的對手陷入中毒狀態。特性蟲之預感ＨＰ減少的時候，蟲屬性的招式威力會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/c306e50d93f2a7b5f3c5891cf528dd58f0c9d505.png
545,蜈蚣王,蟲毒,火飛行超能力岩石,身高2.5 m分類巨蜈蚣寶可夢體重200.5 kg性別/特性毒刺蟲之預感特性毒刺有時會讓接觸到自己的對手陷入中毒狀態。特性蟲之預感ＨＰ減少的時候，蟲屬性的招式威力會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/b7d01da3f99b6af08a631f054352b1e752c0a82a.png
546,木棉球,草妖精,火冰毒飛行鋼,身高0.3 m分類棉球寶可夢體重0.6 kg性別/特性惡作劇之心穿透特性惡作劇之心可以搶先使出變化類招式。特性穿透可穿透對手的屏障或替身進行攻擊。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/a1b26c2d3d1e4c86bf72e0f7f04e803a7c86ab02.png
547,风妖精,草妖精,火冰毒飛行鋼,身高0.7 m分類風隱寶可夢體重6.6 kg性別/特性惡作劇之心穿透特性惡作劇之心可以搶先使出變化類招式。特性穿透可穿透對手的屏障或替身進行攻擊。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/51db1f9485915c397954484d590554325cab7621.png
548,百合根娃娃,草,火冰毒飛行蟲,身高0.5 m分類根莖寶可夢體重6.6 kg性別特性葉綠素我行我素特性葉綠素天氣為晴朗時，速度會提高。特性我行我素因為我行我素，不會陷入混亂狀態。面對威嚇也不會動搖。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/7773fc363fc1668cc18ceb45cecd5afc2c9ac433.png
549,裙儿小姐,草,火冰毒飛行蟲,身高1.1 m分類花飾寶可夢體重16.3 kg性別特性葉綠素我行我素特性葉綠素天氣為晴朗時，速度會提高。特性我行我素因為我行我素，不會陷入混亂狀態。面對威嚇也不會動搖。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/6000b1d710f8a1d1967ceffb4ad19e3dee6fbf71.png
549,裙儿小姐,草格鬥,火冰毒飛行超能力妖精,身高1.2 m分類旋轉寶可夢體重19.2 kg性別特性葉綠素活力特性葉綠素天氣為晴朗時，速度會提高。特性活力自己的攻擊雖會變高，但命中率會降低。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/f91367db238603ca035b9095c16ea006661a9057.png
550,野蛮鲈鱼,水,草電,身高1.0 m分類粗暴寶可夢體重18.0 kg性別/特性捨身適應力特性捨身會讓自己因反作用力而受傷的招式威力會提高。特性適應力與自身同屬性的招式威力會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/0b03c8202a6e153f949a9db2706ecba54737321d.png
550,野蛮鲈鱼,水,草電,身高1.0 m分類粗暴寶可夢體重18.0 kg性別/特性堅硬腦袋適應力特性堅硬腦袋即使使出會受反作用力傷害的招式，ＨＰ也不會減少。特性適應力與自身同屬性的招式威力會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/75296a75e828a6593e484c27fe42c6da1ee09deb.png
551,黑眼鳄,地面惡,水草冰格鬥蟲妖精,身高0.7 m分類沙漠鱷魚寶可夢體重15.2 kg性別/特性威嚇自信過度特性威嚇出場時威嚇對手，使其退縮，從而降低對手的攻擊。特性自信過度如果打倒對手，會充滿自信並提高攻擊。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/2b0e1359df5fbd6268f102e59fd8bb1ae39ae0f0.png
552,混混鳄,地面惡,水草冰格鬥蟲妖精,身高1.0 m分類沙漠鱷魚寶可夢體重33.4 kg性別/特性威嚇自信過度特性威嚇出場時威嚇對手，使其退縮，從而降低對手的攻擊。特性自信過度如果打倒對手，會充滿自信並提高攻擊。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/5b91ecbeb182b8b514dd76d202678b8fc0e0af4f.png
553,流氓鳄,地面惡,水草冰格鬥蟲妖精,身高1.5 m分類威嚇寶可夢體重96.3 kg性別/特性威嚇自信過度特性威嚇出場時威嚇對手，使其退縮，從而降低對手的攻擊。特性自信過度如果打倒對手，會充滿自信並提高攻擊。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/8892641984b53913c621294dbe85ca6ec7103ff9.png
554,火红不倒翁,火,水地面岩石,身高0.6 m分類不倒翁寶可夢體重37.5 kg性別/特性活力特性活力自己的攻擊雖會變高，但命中率會降低。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/a3bd097caf7a202d8c8db24da6a92aecd4f2d758.png
554,火红不倒翁,冰,火格鬥岩石鋼,身高0.7 m分類不倒翁寶可夢體重40.0 kg性別/特性活力特性活力自己的攻擊雖會變高，但命中率會降低。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/059b8874e99351882da64fc479dc910214b39669.png
555,达摩狒狒,火,水地面岩石,身高1.3 m分類爆燃寶可夢體重92.9 kg性別/特性強行特性強行招式會失去追加效果，但可以用更高的威力使出招式。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/885a7de675821f21daf149636c9a1214b53be1d8.png
555,达摩狒狒,火超能力,水地面岩石幽靈惡,身高1.3 m分類爆燃寶可夢體重92.9 kg性別/特性強行特性強行招式會失去追加效果，但可以用更高的威力使出招式。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/a89d3c55a7a9d9aba12157b538dd12e7d250760b.png
555,达摩狒狒,冰,火格鬥岩石鋼,身高1.7 m分類不倒翁寶可夢體重120.0 kg性別/特性一猩一意特性一猩一意攻擊雖然會提高，但只能使出最初選擇的招式。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/097694c1a892bd52984d045d5d26e7cdcb6b81c0.png
555,达摩狒狒,冰火,水格鬥地面岩石,身高1.7 m分類爆燃寶可夢體重120.0 kg性別/特性一猩一意特性一猩一意攻擊雖然會提高，但只能使出最初選擇的招式。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/5b3886bc36f9a8e2308fcfc4e8357e83bf95691a.png
556,沙铃仙人掌,草,火冰毒飛行蟲,身高1.0 m分類仙人掌寶可夢體重28.0 kg性別/特性儲水葉綠素特性儲水受到水屬性的招式攻擊時，不會受到傷害，而是會回復。特性葉綠素天氣為晴朗時，速度會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/477b1ae23e08a9e7a74117f594af3e7fbeb29798.png
557,石居蟹,蟲岩石,水岩石鋼,身高0.3 m分類石居寶可夢體重14.5 kg性別/特性結實硬殼盔甲特性結實在ＨＰ全滿時受到招式攻擊不會被一擊打倒。一擊必殺的招式也沒有效果。特性硬殼盔甲被堅硬的殼保護著，對手的攻擊不會擊中要害。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/4d39cfb58d0644bc643a19ca29ced119dd6aa82a.png
558,岩殿居蟹,蟲岩石,水岩石鋼,身高1.4 m分類岩居寶可夢體重200.0 kg性別/特性結實硬殼盔甲特性結實在ＨＰ全滿時受到招式攻擊不會被一擊打倒。一擊必殺的招式也沒有效果。特性硬殼盔甲被堅硬的殼保護著，對手的攻擊不會擊中要害。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/23a6e116c09a4fcfbb6dd12797a8a0c9e35452ea.png
559,滑滑小子,惡格鬥,格鬥飛行妖精,身高0.6 m分類蛻皮寶可夢體重11.8 kg性別/特性蛻皮自信過度特性蛻皮透過蛻去身上的皮，有時會治癒異常狀態。特性自信過度如果打倒對手，會充滿自信並提高攻擊。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/6662199ef18814db2e22bae20d67e04a3a72966f.png
560,头巾混混,惡格鬥,格鬥飛行妖精,身高1.1 m分類惡黨寶可夢體重30.0 kg性別/特性蛻皮自信過度特性蛻皮透過蛻去身上的皮，有時會治癒異常狀態。特性自信過度如果打倒對手，會充滿自信並提高攻擊。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/871b12f945f4f644264b070d1849811f9f2ad256.png
561,象徵鸟,超能力飛行,電冰岩石幽靈惡,身高1.4 m分類似鳥寶可夢體重14.0 kg性別/特性奇跡皮膚魔法防守特性奇跡皮膚不易受到變化類招式攻擊的身體。特性魔法防守不會受到攻擊以外的傷害。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/1a647d33d1bb147e57880f9506c7772fee959fce.png
562,哭哭面具,幽靈,幽靈惡,身高0.5 m分類魂寶可夢體重1.5 kg性別/特性木乃伊特性木乃伊被對手接觸到時，會將對手變成木乃伊。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/4d84dfa13eeb9c857b46521e1c0ccb778cb05118.png
562,哭哭面具,地面幽靈,水草冰幽靈惡,身高0.5 m分類魂寶可夢體重1.5 kg性別/特性遊魂特性遊魂與使用接觸類招式攻擊自己的寶可夢互換特性。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/63853a7060cec921676dd46382113496441dd98b.png
563,死神棺,幽靈,幽靈惡,身高1.7 m分類棺木寶可夢體重76.5 kg性別/特性木乃伊特性木乃伊被對手接觸到時，會將對手變成木乃伊。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/a212573886f18131796d1ef9ce53ce6d3d6eef3e.png
564,原盖海龟,水岩石,草電格鬥地面,身高0.7 m分類古代龜寶可夢體重16.5 kg性別/特性堅硬岩石結實特性堅硬岩石受到效果絕佳的攻擊時，可減弱其威力。特性結實在ＨＰ全滿時受到招式攻擊不會被一擊打倒。一擊必殺的招式也沒有效果。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/b47314b559383865d29943d4bac97451a533fc75.png
565,肋骨海龟,水岩石,草電格鬥地面,身高1.2 m分類古代龜寶可夢體重81.0 kg性別/特性堅硬岩石結實特性堅硬岩石受到效果絕佳的攻擊時，可減弱其威力。特性結實在ＨＰ全滿時受到招式攻擊不會被一擊打倒。一擊必殺的招式也沒有效果。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/3b6eac91b21e2820c57c3ccea6ce0e6941c31d58.png
566,始祖小鸟,岩石飛行,水電冰岩石鋼,身高0.5 m分類遠古鳥寶可夢體重9.5 kg性別/特性軟弱特性軟弱ＨＰ降到一半以下時，會變得軟弱而使得攻擊和特攻減半。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/473e9a55d58b76c605506ec374586d6f57e9c99d.png
567,始祖大鸟,岩石飛行,水電冰岩石鋼,身高1.4 m分類遠古鳥寶可夢體重32.0 kg性別/特性軟弱特性軟弱ＨＰ降到一半以下時，會變得軟弱而使得攻擊和特攻減半。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/22de05e7bb36ffde0c4520238cf078027168f8e6.png
568,破破袋,毒,地面超能力,身高0.6 m分類垃圾袋寶可夢體重31.0 kg性別/特性惡臭黏著特性惡臭發出臭氣，在攻擊的時候，有時會使對手畏縮。特性黏著道具會黏在具有黏性的身體上，不會被對手奪走。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/a0d42129ee9682ed51f601fded624d87131a2188.png
569,灰尘山,毒,地面超能力,身高1.9 m分類垃圾場寶可夢體重107.3 kg性別/特性惡臭碎裂鎧甲特性惡臭發出臭氣，在攻擊的時候，有時會使對手畏縮。特性碎裂鎧甲因物理招式受到傷害時，防禦會降低，速度會大幅提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/eb8c2a131a54e7d97e81cc45a59801f24d8abfd7.png
569,灰尘山,毒,地面超能力,身高21.0 m〜分類-體重???.? kg性別/特性惡臭碎裂鎧甲特性惡臭發出臭氣，在攻擊的時候，有時會使對手畏縮。特性碎裂鎧甲因物理招式受到傷害時，防禦會降低，速度會大幅提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/de70696c02e2bdfd01460d34f151999f912f69a7.png
570,索罗亚,惡,格鬥蟲妖精,身高0.7 m分類惡狐寶可夢體重12.5 kg性別/特性幻覺特性幻覺假扮成同行隊伍中的最後一個寶可夢出場，迷惑對手。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/d18ec337859cde104d62f59581460a4c6321e2b0.png
570,索罗亚,一般幽靈,惡,身高0.7 m分類怨狐寶可夢體重12.5 kg性別/特性幻覺特性幻覺假扮成同行隊伍中的最後一個寶可夢出場，迷惑對手。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/be34046b6d29de3a3667d214cf01615500afd1ae.png
571,索罗亚克,惡,格鬥蟲妖精,身高1.6 m分類妖狐寶可夢體重81.1 kg性別/特性幻覺特性幻覺假扮成同行隊伍中的最後一個寶可夢出場，迷惑對手。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/d69b628e2eaffb69aef999d83997a62215a3f749.png
571,索罗亚克,一般幽靈,惡,身高1.6 m分類咒狐寶可夢體重73.0 kg性別/特性幻覺特性幻覺假扮成同行隊伍中的最後一個寶可夢出場，迷惑對手。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/9d1086ba0d203a4a5f90a477a51aaa799951139c.png
572,泡沫栗鼠,一般,格鬥,身高0.4 m分類栗鼠寶可夢體重5.8 kg性別/特性迷人之軀技術高手特性迷人之軀有時會讓接觸到自己的對手陷入著迷狀態。特性技術高手可讓威力低的招式提高威力來進行攻擊。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/2966d06c1b23bfda20d34cfc45660fd1a6b2bb6c.png
573,奇诺栗鼠,一般,格鬥,身高0.5 m分類圍巾寶可夢體重7.5 kg性別/特性迷人之軀技術高手特性迷人之軀有時會讓接觸到自己的對手陷入著迷狀態。特性技術高手可讓威力低的招式提高威力來進行攻擊。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/c184094b8fc7e9d377cba817aaca8cb8740695c7.png
574,哥德宝宝,超能力,蟲幽靈惡,身高0.4 m分類凝視寶可夢體重5.8 kg性別/特性察覺好勝特性察覺出場時，可以察覺對手的持有物。特性好勝被對手降低能力時，特攻會大幅提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/c5d54b1cc508dac32da37b5a3654c49a4a1ee12a.png
575,哥德小童,超能力,蟲幽靈惡,身高0.7 m分類操縱寶可夢體重18.0 kg性別/特性察覺好勝特性察覺出場時，可以察覺對手的持有物。特性好勝被對手降低能力時，特攻會大幅提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/e270c8a30b0b5cf5605f24cd98203fb25f3e76e1.png
576,哥德小姐,超能力,蟲幽靈惡,身高1.5 m分類天體寶可夢體重44.0 kg性別/特性察覺好勝特性察覺出場時，可以察覺對手的持有物。特性好勝被對手降低能力時，特攻會大幅提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/c2c91139b9e7cfc560da23d636a3af5fc419982a.png
577,单卵细胞球,超能力,蟲幽靈惡,身高0.3 m分類細胞寶可夢體重1.0 kg性別/特性防塵魔法防守特性防塵不會受到沙暴的傷害。也不會受到粉末或孢子的影響。特性魔法防守不會受到攻擊以外的傷害。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/4470501b17ac51adfbb14b9a0aa4d0bbac81ea38.png
579,人造细胞卵,超能力,蟲幽靈惡,身高1.0 m分類增幅寶可夢體重20.1 kg性別/特性防塵魔法防守特性防塵不會受到沙暴的傷害。也不會受到粉末或孢子的影響。特性魔法防守不會受到攻擊以外的傷害。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/2ff9af190923a0db448f841c4939438e5b533bfe.png
580,鸭宝宝,水飛行,電岩石,身高0.5 m分類水鳥寶可夢體重5.5 kg性別/特性銳利目光健壯胸肌特性銳利目光靠著銳利的目光，命中率不會被降低。特性健壯胸肌不會受到降低防禦的效果影響。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/4770412ac2e9374d54fd962a5be5074b2f021c41.png
581,舞天鹅,水飛行,電岩石,身高1.3 m分類白鳥寶可夢體重24.2 kg性別/特性銳利目光健壯胸肌特性銳利目光靠著銳利的目光，命中率不會被降低。特性健壯胸肌不會受到降低防禦的效果影響。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/bb052aa6d1ae577b3ecad8865dcf316d75c0f25e.png
582,迷你冰,冰,火格鬥岩石鋼,身高0.4 m分類新雪寶可夢體重5.7 kg性別/特性冰凍之軀雪隱特性冰凍之軀天氣為下雪時，會漸漸回復ＨＰ。特性雪隱天氣為下雪時，閃避率會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/d00d73cd72c2aeb1f6de0acf463cad854107bbcd.png
583,多多冰,冰,火格鬥岩石鋼,身高1.1 m分類冰雪寶可夢體重41.0 kg性別/特性冰凍之軀雪隱特性冰凍之軀天氣為下雪時，會漸漸回復ＨＰ。特性雪隱天氣為下雪時，閃避率會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/be29c009e5a02190b11b28a9a396103c309a7455.png
584,双倍多多冰,冰,火格鬥岩石鋼,身高1.3 m分類暴風雪寶可夢體重57.5 kg性別/特性冰凍之軀降雪特性冰凍之軀天氣為下雪時，會漸漸回復ＨＰ。特性降雪出場時，會將天氣變為下雪。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/a475d9661d5d6ee4b2d8670a51a8b85bafe58919.png
585,四季鹿,一般草,火冰格鬥毒飛行蟲,身高0.6 m分類季節寶可夢體重19.5 kg性別/特性葉綠素食草特性葉綠素天氣為晴朗時，速度會提高。特性食草受到草屬性的招式攻擊時，不但不會受到傷害，反而攻擊會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/5e2cf0d899af0641a566ffc80c6abcace1e2d0ab.png
585,四季鹿,一般草,火冰格鬥毒飛行蟲,身高0.6 m分類季節寶可夢體重19.5 kg性別/特性葉綠素食草特性葉綠素天氣為晴朗時，速度會提高。特性食草受到草屬性的招式攻擊時，不但不會受到傷害，反而攻擊會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/19ead9e7fc611bb194fa1ceec5b3d88dcb57c7b6.png
585,四季鹿,一般草,火冰格鬥毒飛行蟲,身高0.6 m分類季節寶可夢體重19.5 kg性別/特性葉綠素食草特性葉綠素天氣為晴朗時，速度會提高。特性食草受到草屬性的招式攻擊時，不但不會受到傷害，反而攻擊會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/1c1a1857f6ed1e8f6ee85c84cc6235ecc8a6c33e.png
585,四季鹿,一般草,火冰格鬥毒飛行蟲,身高0.6 m分類季節寶可夢體重19.5 kg性別/特性葉綠素食草特性葉綠素天氣為晴朗時，速度會提高。特性食草受到草屬性的招式攻擊時，不但不會受到傷害，反而攻擊會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/12abcca73ecf790f4d3f8ac5d217064ad7ddffb5.png
586,萌芽鹿,一般草,火冰格鬥毒飛行蟲,身高1.9 m分類季節寶可夢體重92.5 kg性別/特性葉綠素食草特性葉綠素天氣為晴朗時，速度會提高。特性食草受到草屬性的招式攻擊時，不但不會受到傷害，反而攻擊會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/db2a3f73947aac8b264b9faf7f298a3d54b767d9.png
586,萌芽鹿,一般草,火冰格鬥毒飛行蟲,身高1.9 m分類季節寶可夢體重92.5 kg性別/特性葉綠素食草特性葉綠素天氣為晴朗時，速度會提高。特性食草受到草屬性的招式攻擊時，不但不會受到傷害，反而攻擊會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/0389ba219fe71aa3ea238fec1be4808164f6c71f.png
586,萌芽鹿,一般草,火冰格鬥毒飛行蟲,身高1.9 m分類季節寶可夢體重92.5 kg性別/特性葉綠素食草特性葉綠素天氣為晴朗時，速度會提高。特性食草受到草屬性的招式攻擊時，不但不會受到傷害，反而攻擊會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/b57f557201bb4eb545e82c509137036f9e5751ee.png
586,萌芽鹿,一般草,火冰格鬥毒飛行蟲,身高1.9 m分類季節寶可夢體重92.5 kg性別/特性葉綠素食草特性葉綠素天氣為晴朗時，速度會提高。特性食草受到草屬性的招式攻擊時，不但不會受到傷害，反而攻擊會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/7b24f5293cd88fb4af09afdce2f14c6427b1ae3c.png
587,电飞鼠,電飛行,冰岩石,身高0.4 m分類飛鼠寶可夢體重5.0 kg性別/特性靜電特性靜電身上帶有靜電，有時會令接觸到的對手麻痺。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/f0ce08a54cf47851169d5c6960ecc7bbc7fd1279.png
588,盖盖虫,蟲,火飛行岩石,身高0.5 m分類啃咬寶可夢體重5.9 kg性別/特性蟲之預感蛻皮特性蟲之預感ＨＰ減少的時候，蟲屬性的招式威力會提高。特性蛻皮透過蛻去身上的皮，有時會治癒異常狀態。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/88a159b759fd77e0fcc4b1f17ddb725635877c60.png
589,骑士蜗牛,蟲鋼,火,身高1.0 m分類騎兵寶可夢體重33.0 kg性別/特性蟲之預感硬殼盔甲特性蟲之預感ＨＰ減少的時候，蟲屬性的招式威力會提高。特性硬殼盔甲被堅硬的殼保護著，對手的攻擊不會擊中要害。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/9e717420381941b3cbfaeef5653e13a8ff1a4995.png
590,哎呀球菇,草毒,火冰飛行超能力,身高0.2 m分類蘑菇寶可夢體重1.0 kg性別/特性孢子特性孢子透過攻擊有時會使接觸到自己的對手，陷入中毒、麻痺或睡眠狀態。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/3ad8071d5915d5fe0d9fd6728c788f9e2052080a.png
591,败露球菇,草毒,火冰飛行超能力,身高0.6 m分類蘑菇寶可夢體重10.5 kg性別/特性孢子特性孢子透過攻擊有時會使接觸到自己的對手，陷入中毒、麻痺或睡眠狀態。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/0e85da4945fbe5276bfdf1569b9bf47ad0021a43.png
