姓名,进化,属性,弱点,身高,体重,特征,数据
长毛狗,长毛狗,一般,格斗,1.2,61,威吓,宽大宝可梦靠著又长又暖的毛皮，一点也不怕寒冷的天气。但阿罗拉的长毛狗看起来有点难受。出场时威吓对手，使其退缩，从而降低对手的攻击。特拨沙天气为沙暴时，速度会提高。
扒手猫,酷豹,恶,格斗,0.4,10.1,柔软,坏心眼宝可梦为了要看见人们困扰的样子而去偷盗他们的物品。和偷儿狐是竞争对手。因为身体柔软，不会陷入麻痺状态。特轻装失去所持有的道具时，速度会提高。
酷豹,酷豹,恶,格斗,1.1,37.5,柔软,冷酷宝可梦虽然人们容易被牠美丽的毛皮和姿态所迷惑，但牠其实是一种善变而凶暴的宝可梦。因为身体柔软，不会陷入麻痺状态。特轻装失去所持有的道具时，速度会提高。
花椰猴,花椰猿,草,火,0.6,10.5,贪吃鬼,草猴宝可梦会把头上的叶子分给没有精神的宝可梦。叶子有消除疲劳的效果。原本ＨＰ变得很少时才会吃的树果，在ＨＰ还有一半时就会把它吃掉。
爆香猴,爆香猿,火,水,0.6,11,贪吃鬼,高温宝可梦智商很高，有把树果烤过再吃的习性。喜欢帮助人类。原本ＨＰ变得很少时才会吃的树果，在ＨＰ还有一半时就会把它吃掉。
爆香猿,爆香猿,火,水,1,28,贪吃鬼,火花宝可梦燃烧体内的火焰，从头部与尾巴撒出火花，烧焦敌人。原本ＨＰ变得很少时才会吃的树果，在ＨＰ还有一半时就会把它吃掉。
冷水猴,冷水猿,水,草电,0.6,13.5,贪吃鬼,泼水宝可梦头上的毛发丛里储藏的水营养非常丰富。牠会用尾巴拿这种水来灌溉草木。原本ＨＰ变得很少时才会吃的树果，在ＨＰ还有一半时就会把它吃掉。
冷水猿,冷水猿,水,草电,1,29,贪吃鬼,放水宝可梦从尾巴发射出的高压水柱，有著能把水泥墙也破坏掉的威力。原本ＨＰ变得很少时才会吃的树果，在ＨＰ还有一半时就会把它吃掉。
食梦梦,梦梦蚀,超能力,虫,0.6,23.3,预知梦,食梦宝可梦会在深夜出现在枕头边。在吃梦的时候，身上的花纹会微微发亮。出场时，预见1个对手持有的招式。特同步将自己的中毒、麻痺或灼伤状态传染给对手。
梦梦蚀,梦梦蚀,超能力,虫,1.1,60.5,预知梦,半梦半醒宝可梦在牠冒出黑黑的烟雾时，还是不要接近牠为妙，否则恶梦将会成真。出场时，预见1个对手持有的招式。特同步将自己的中毒、麻痺或灼伤状态传染给对手。
豆豆鸽,咕咕鸽,一般飞行,电冰,0.3,2.1,健壮 ,小鸽宝可梦会出现在人类生活的地方。一旦撒出饲料就会有好几百只豆豆鸽聚集而来，千万要小心。不会受到降低防御的效果影响。特超幸运因为非常幸运，容易击中对手的要害。
咕咕鸽,高傲雉鸡,一般飞行,电冰,0.6,15,健壮,野鸽宝可梦飞行速度不可小觑。无论飞到多远的地方，都会记得自己的主人和巢。 不会受到降低防御的效果影响。特超幸运因为非常幸运，容易击中对手的要害。
高傲雉鸡,高傲雉鸡,一般飞行,电冰,1.2,29,健壮,自尊心宝可梦雄性会摇晃头上的饰羽威吓对手。雌性拥有高于雄性的飞行能力。 不会受到降低防御的效果影响。特超幸运因为非常幸运，容易击中对手的要害。
斑斑马,雷电斑马,电,地面,0.8,29.8,避雷针,带电宝可梦当天空雷云密布时就会出现。会用鬃毛捕捉雷电，储存电力。将电属的招式吸引到自己身上，不但不会受到伤害，反而会提高特攻。特电气引擎受到电属的招式攻击时，不但不会受到伤害，反而速度会提高。
雷电斑马,雷电斑马,电,地面,1.6,79.5,避雷针,雷电宝可梦是有著粗暴性格的宝可梦。如果生气，就会从鬃毛朝四面八方放电。将电属的招式吸引到自己身上，不但不会受到伤害，反而会提高特攻。特电气引擎受到电属的招式攻击时，不但不会受到伤害，反而速度会提高。
石丸子,地幔岩,岩石,水草,0.4,18,结实,地幔宝可梦几乎和铁一样坚硬，但要是长时间浸在水里，似乎就会稍微变软一些。在ＨＰ全满时受到招式攻击不会被一击打倒。一击必杀的招式也没有效果。特碎裂铠甲因物理招式受到伤害时，防御会降低，速度会大幅提高。
地幔岩,庞岩怪,岩石,水草,0.9,102,结实,矿石宝可梦橘色的结晶开始发光的时候，一定要特别小心，因为牠马上就会射出能量。在ＨＰ全满时受到招式攻击不会被一击打倒。一击必杀的招式也没有效果。特碎裂铠甲因物理招式受到伤害时，防御会降低，速度会大幅提高。
庞岩怪,庞岩怪,岩石,水草,1.7,260,结实,高压宝可梦由于拥有健壮的身体，有时可以在工地或采石场看到牠和大王铜象还有人类一起工作。在ＨＰ全满时受到招式攻击不会被一击打倒。一击必杀的招式也没有效果。特扬沙出场时，会把天气变为沙暴。
滚滚蝙蝠,心蝙蝠,超能力飞行,电冰,0.4,2.1,纯朴,蝙蝠宝可梦在洞窟中，如果抬头看到墙壁上留著心形的痕迹，就代表滚滚蝙蝠住在那里。可无视对手能力的变化，进行攻击。特笨拙无法使用持有的道具。
心蝙蝠,心蝙蝠,超能力飞行,电冰,0.9,10.5,纯朴,求爱宝可梦在发出极其强力的音波后会陷入疲劳，暂时无法飞行。可无视对手能力的变化，进行攻击。特笨拙无法使用持有的道具。
螺钉地鼠,龙头地鼠,地面,水草,0.3,8.5,拨沙,鼹鼠宝可梦会将双掌上的爪子并拢，并让身体高速旋转，瞄准猎物冲过去。天气为沙暴时，速度会提高。特沙之力沙暴天气时，岩石属、地面属和钢属
龙头地鼠,龙头地鼠,地面钢,火水,0.7,40.4,拨沙,地底宝可梦有许多看似自然形成的洞窟其实都是龙头地鼠一阵乱钻之后留下来的。天气为沙暴时，速度会提高。特沙之力沙暴天气时，岩石属、地面属和钢属
差不多娃娃,超级差不多娃娃,一般,格斗,1.1,31,治愈之心,听力宝可梦透过耳朵上的触角，不仅是对方的身体状况，就连宝可梦何时从蛋里孵出来都能知道。有时会治愈同伴的异常状态。特再生力退回同行队伍后，ＨＰ会少量回复。
超级差不多娃娃,超级差不多娃娃,一般妖精,毒钢,1.5,32,治愈之心,听力宝可梦透过耳朵上的触角，不仅是对方的身体状况，就连宝可梦何时从蛋里孵出来都能知道。有时会治愈同伴的异常状态。
搬运小匠,铁骨土人,格斗,飞行,0.6,12.5,毅力,筋骨宝可梦喜欢帮忙做建筑的工作。因为下雨而停工时，会乱挥木材大闹一番。陷入异常状态时，会拿出毅力，攻击会提高。特强行招式会失去追加效果，但可以用更高的威力使出招式。
铁骨土人,修建老匠,格斗,飞行,1.2,40,毅力,筋骨宝可梦与其他的伙伴还有豪力一起比拼肌肉。输掉的那一方会暂时躲起来。陷入异常状态时，会拿出毅力，攻击会提高。特强行招式会失去追加效果，但可以用更高的威力使出招式。
修建老匠,修建老匠,格斗,飞行,1.4,87,毅力,筋骨宝可梦即使成分相同，修建老匠搅拌的混凝土格外地坚硬结实。陷入异常状态时，会拿出毅力，攻击会提高。特强行招式会失去追加效果，但可以用更高的威力使出招式。
圆蝌蚪,蓝蟾蜍,水,草电,0.5,4.5,悠游自如,蝌蚪宝可梦如果水面上扩散开美丽的波纹，就代表有圆蝌蚪正在水面下用高昂的声音鸣叫。天气为下雨时，速度会提高。特性湿润之躯天气为下雨时，会治愈异常状态。
蓝蟾蜍,蟾蜍王,水地面,草,0.8,17,悠游自如,震动宝可梦透过发出足以造成头痛的音波来充分削弱猎物之后，用黏糊糊的舌头将其捉住。天气为下雨时，速度会提高。特湿润之躯天气为下雨时，会治愈异常状态。
蟾蜍王,蟾蜍王,水地面,草,1.5,62,悠游自如,震动宝可梦透过震动全身的瘤来引发地震般的晃动。与不良蛙是相近的物种。天气为下雨时，速度会提高。特毒手有时仅是接触就能让对手中毒。
投摔鬼,投摔鬼,格斗,飞行,1.3,55.5,毅力,柔道宝可梦能使出一流的投摔招式。带子被战斗时流下的汗水浸湿，颜色越变越深。陷入异常状态时，会拿出毅力，攻击会提高。特精神力靠着经过锻炼的精神，不会因对手的攻击而畏缩。面对威吓也不会动摇。
打击鬼,打击鬼,格斗,飞行,1.4,51,结实,空手道宝可梦不断地寻求强大的实力。要是看到了在山上修行的打击鬼，就静静地离开吧。在ＨＰ全满时受到招式攻击不会被一击打倒。一击必杀的招式也没有效果。特精神力靠着经过锻炼的精神，不会因对手的攻击而畏缩。面对威吓也不会动摇。
虫宝包,宝包茧,虫草,火,0.3,2.5,虫之预感,裁缝宝可梦咬断叶子，用口中吐出的黏丝来缝合。是会自己做衣服的宝可梦。ＨＰ减少的时候，虫属的招式威力会提高。特叶绿素天气为晴朗时，速度会提高。
宝包茧,保母虫,虫草,火,0.5,7.3,叶子防守,足不出叶宝可梦宝包茧居住的森林里草木生长得特别繁盛。因为牠会将落叶转化成养分。天气为晴朗时，不会陷入异常状态。特叶绿素天气为晴朗时，速度会提高。
保母虫,保母虫,虫草,火,1.2,20.5,虫之预感,育儿宝可梦一旦发现幼小的宝可梦，就会用口中吐出的黏丝为牠缝制叶子衣服。ＨＰ减少的时候，虫属的招式威力会提高。特叶绿素天气为晴朗时，速度会提高。
百足蜈蚣,车轮毬,虫毒,火,0.4,5.3,毒刺,蜈蚣宝可梦用头与尾巴上的触角探索周遭的状况。性情非常凶暴。有时会让接触到自己的对手陷入中毒状态。特虫之预感ＨＰ减少的时候，虫属的招式威力会提高。
车轮毬,蜈蚣王,虫毒,火,1.2,58.5,毒刺,茧蜈蚣宝可梦被坚硬的壳保护著。会像轮胎般旋转，并用身体猛烈撞击敌人。有时会让接触到自己的对手陷入中毒状态。特虫之预感ＨＰ减少的时候，虫属的招式威力会提高。
蜈蚣王,蜈蚣王,虫毒,火,2.5,200.5,毒刺,巨蜈蚣宝可梦用颈部的爪子夹住猎物，使其动弹不得后，注入剧毒给予致命一击。有时会让接触到自己的对手陷入中毒状态。特虫之预感ＨＰ减少的时候，虫属的招式威力会提高。
木棉球,风妖精,草妖精,火,0.3,0.6,恶作剧之心,棉球宝可梦会喷出棉花保护身体。有时会被台风吹到地球的另一边。可以抢先使出变化类招式。特穿透可穿透对手的屏障或替身进行攻击。
风妖精,风妖精,草妖精,火,0.7,6.6,恶作剧之心,风隐宝可梦喜欢到处撒棉花捣蛋。沾水之后就会变重而动弹不得，只能听天由命可以抢先使出变化类招式。特穿透可穿透对手的屏障或替身进行攻击。
百合根娃娃,裙儿小姐,草,火,0.5,6.6,叶绿素,根茎宝可梦头上的叶子就算掉了也会立刻长回来。叶子味道很苦，但拿来嚼却能瞬间恢复精神。天气为晴朗时，速度会提高。特我行我素因为我行我素，不会陷入溷乱状态。面对威吓也不会动摇。
裙儿小姐,裙儿小姐,草,火,1.1,16.3,叶绿素,花饰宝可梦头上的花饰会散发出闻了就能舒缓情绪的香气，但却极为难以照料。天气为晴朗时，速度会提高。特我行我素因为我行我素，不会陷入溷乱状态。面对威吓也不会动摇。
野蛮鲈鱼,野蛮鲈鱼,水,草电,1,18,舍身,粗暴宝可梦性情暴躁，极具攻击性。同时还拥有极高的生命力，数量会在不知不觉间增多。会让自己因反作用力而受伤的招式威力会提高。特适应力与自身同属的招式威力会提高。
黑眼鳄,溷溷鳄,地面恶,水草,0.7,15.2,威吓,沙漠鳄鱼宝可梦潜藏在沙中像游泳一样移动。这是种兼具不被敌人发现和保持体温效果的生存智慧。出场时威吓对手，使其退缩，从而降低对手的攻击。特自信过度如果打倒对手，会充满自信并提高攻击。
溷溷鳄,流氓鳄,地面恶,水草,1,33.4,威吓,沙漠鳄鱼宝可梦由于双眼覆盖著薄膜，在半夜中也能看见四周。会和多只同类组成群体生活。出场时威吓对手，使其退缩，从而降低对手的攻击。特自信过度如果打倒对手，会充满自信并提高攻击。
流氓鳄,流氓鳄,地面恶,水草,1.5,96.3,威吓,威吓宝可梦用强力的颚咬住后，狠狠地扭动身体，将猎物切断。出场时威吓对手，使其退缩，从而降低对手的攻击。特自信过度如果打倒对手，会充满自信并提高攻击。
火红不倒翁,达摩狒狒,火,水,0.6,37.5,活力,不倒翁宝可梦能量之源是体内的火焰。如果火焰变小了，牠马上就会睡著。自己的攻击虽会变高，但命中率会降低。
达摩狒狒,达摩狒狒,火,水,1.3,92.9,强行,爆燃宝可梦总是热血沸腾的宝可梦。牠厚重的手臂使出的拳击甚至能把砂石车打得粉碎。招式会失去追加效果，但可以用更高的威力使出招式。
沙铃仙人掌,沙铃仙人掌,草,火,1,28,储水,仙人掌宝可梦会发出沙铃般的声音。鸟宝可梦会因那轻快的节奏而受惊飞走。受到水属的招式攻击时，不会受到伤害，而是会回复。特叶绿素天气为晴朗时，速度会提高。
石居蟹,岩殿居蟹,虫岩石,水,0.3,14.5,结实,石居宝可梦会在自己喜欢的石头上开洞当成住所。对石丸子还有小炭仔来说是天敌。在ＨＰ全满时受到招式攻击不会被一击打倒。一击必杀的招式也没有效果。特硬壳盔甲被坚硬的壳保护着，对手的攻击不会击中要害。
岩殿居蟹,岩殿居蟹,虫岩石,水,1.4,200,结实,岩居宝可梦喜欢干燥的地方，下雨时不会从岩石里出来。有著很强的地盘意识。在ＨＰ全满时受到招式攻击不会被一击打倒。一击必杀的招式也没有效果。特硬壳盔甲被坚硬的壳保护着，对手的攻击不会击中要害。
滑滑小子,头巾溷溷,恶格斗,格斗,0.6,11.8,蜕皮,蜕皮宝可梦与牠视线交会是很危险的！不管对手是谁，牠都会用头锤招呼，是个难搞的家伙。透过蜕去身上的皮，有时会治愈异常状态。特自信过度如果打倒对手，会充满自信并提高攻击。
头巾溷溷,头巾溷溷,恶格斗,格斗,1.1,30,蜕皮,恶党宝可梦牠看似无精打采的踢击其实拥有足以击碎修建老匠手中混凝土的破坏力。透过蜕去身上的皮，有时会治愈异常状态。特自信过度如果打倒对手，会充满自信并提高攻击。
象征鸟,象征鸟,超能力飞行,电冰,1.4,14,奇迹皮肤,似鸟宝可梦利用精神力量在空中飞翔，被称为古代都市的守护神。也有人认为牠是守护神的使者。不易受到变化类招式攻击的身体。特魔法防守不会受到攻击以外的伤害。
哭哭面具,死神板,幽灵,幽灵,0.5,1.5,木乃伊,魂宝可梦每天夜里都在遗迹中徘徊。据说牠拿著的面具是牠还是人类时的脸。被对手接触到时，会将对手变成木乃伊。
死神棺,死神棺,幽灵,幽灵,1.7,76.5,木乃伊,棺木宝可梦拥有闪亮亮的黄金身躯。据说牠已再也无法记起自己曾经是人类。被对手接触到时，会将对手变成木乃伊。
原盖海龟,肋骨海龟,水岩石,草电,0.7,16.5,坚硬岩石,古代龟宝可梦从古代的化石复活而来。当时是生活在海里，但也会到陆地上来寻找猎物。受到效果绝佳的攻击时，可减弱其威力。特结实在ＨＰ全满时受到招式攻击不会被一击打倒。一击必杀的招式也没有效果。
肋骨海龟,肋骨海龟,水岩石,草电,1.2,81,坚硬岩石,古代龟宝可梦下巴的力量非常惊人，连多刺菊石兽和菊石兽的壳也能轻而易举地整个吃掉。受到效果绝佳的攻击时，可减弱其威力。特结实在ＨＰ全满时受到招式攻击不会被一击打倒。一击必杀的招式也没有效果。
始祖小鸟,始祖大鸟,岩石飞行,水电,0.5,9.5,软弱,远古鸟宝可梦一直以来被认为是所有鸟宝可梦的祖先，但最近也有研究指出事实并非如此。ＨＰ降到一半以下时，会变得软弱而使得攻击和特攻减半。
始祖大鸟,始祖大鸟,岩石飞行,水电,1.4,32,软弱,远古鸟宝可梦古代的宝可梦。因为羽毛很细，若不是由熟练的师傅来动手，就无法成功复原。ＨＰ降到一半以下时，会变得软弱而使得攻击和特攻减半。
破破袋,灰尘山,毒,地面,0.6,31,恶臭,垃圾袋宝可梦喜欢不卫生的地方。如果不及时清理家里的垃圾，破破袋就会过来居住。发出臭气，在攻击的时候，有时会使对手畏缩。特黏着道具会黏在具有黏的身体上，不会被对手夺走。
灰尘山,灰尘山,毒,地面,1.9,107.3,恶臭,垃圾场宝可梦吃掉的垃圾会在体内转化为毒素。毒素的成分会随著吃掉的垃圾而不同。发出臭气，在攻击的时候，有时会使对手畏缩。特碎裂铠甲因物理招式受到伤害时，防御会降低，速度会大幅提高。
索罗亚,索罗亚克,恶,格斗,0.7,12.5,幻觉,恶狐宝可梦会幻化成对手的样子吓唬对方。似乎经常幻化成沉默寡言的小孩。假扮成同行队伍中的最后一个宝可梦出场，迷惑对手。
索罗亚克,索罗亚克,一般幽灵,恶,1.6,73,幻觉,妖狐宝可梦据说索罗亚克会把企图捕捉牠的人关在虚幻的景色里给予教训。假扮成同行队伍中的最后一个宝可梦出场，迷惑对手。
泡沫栗鼠,奇诺栗鼠,一般,格斗,0.4,5.8,迷人之躯,栗鼠宝可梦用尾巴来清扫灰尘。虽说能帮忙打扫是件好事，但牠的洁癖也会让人感到棘手。有时会让接触到自己的对手陷入着迷状态。特技术高手可让威力低的招式提高威力来进行攻击。
奇诺栗鼠,奇诺栗鼠,一般,格斗,0.5,7.5,迷人之躯,围巾宝可梦洁癖使得牠连一丝灰尘都无法容忍，会把自己身上渗出的油涂在巢上保持清洁。有时会让接触到自己的对手陷入着迷状态。特技术高手可让威力低的招式提高威力来进行攻击。
哥德宝宝,哥德小童,超能力,虫,0.4,5.8,察觉,凝视宝可梦总是一副天真无邪的样子。看见肉眼看不见的东西时，就会眼都不眨地一语不发。出场时，可以察觉对手的持有物。特好胜被对手降低能力时，特攻会大幅提高。
哥德小童,哥德小姐,超能力,虫,0.7,18,察觉,操纵宝可梦一定要小心星光闪闪的夜晚。因为牠会带走被牠施了催眠术而睡著的小孩。出场时，可以察觉对手的持有物。特好胜被对手降低能力时，特攻会大幅提高。
哥德小姐,哥德小姐,超能力,虫,1.5,44,察觉,天体宝可梦会释放出精神力量，让对手梦见宇宙终结的梦。内容似乎既虚幻又美丽。出场时，可以察觉对手的持有物。特好胜被对手降低能力时，特攻会大幅提高。
单卵细胞球,人造细胞卵,超能力,虫,0.3,1,防尘,细胞宝可梦透过心灵感应来与伙伴交流。如果受到了强烈的冲击，包裹著身体的液体就会漏出来。不会受到沙暴的伤害。也不会受到粉末或孢子的影响。特魔法防守不会受到攻击以外的伤害。
人造细胞卵,人造细胞卵,超能力,虫,1,20.1,防尘,增幅宝可梦比起使用超能力，牠更喜欢靠著挥动自傲的手臂来打倒对手。不会受到沙暴的伤害。也不会受到粉末或孢子的影响。特魔法防守不会受到攻击以外的伤害。
鸭宝宝,舞天鹅,水飞行,电,0.5,5.5,锐利目光,水鸟宝可梦受到敌人袭击时，会从全身上下的羽毛喷出水花。混在一片水雾中逃之夭夭。靠着锐利的目光，命中率不会被降低。特健壮胸肌不会受到降低防御的效果影响。
舞天鹅,舞天鹅,水飞行,电,1.3,24.2,锐利目光,白鸟宝可梦有著优雅的外表，但却可以有力地拍动翅膀，持续飞行数千公里。靠着锐利的目光，命中率不会被降低。特健壮胸肌不会受到降低防御的效果影响。
迷你冰,多多冰,冰,火,0.4,5.7,冰冻之躯,新雪宝可梦无法在炎热的地方生存。会吐出冷气来降雪，然后窝在积雪里睡觉。天气为下雪时，会渐渐回复ＨＰ。特雪隐天气为下雪时，闪避率会提高。
多多冰,双倍多多冰,冰,火,1.1,41,冰冻之躯,冰雪宝可梦透过喝下干净的水来让自己的冰雪身躯成长。天气好的时候很少看到牠。天气为下雪时，会渐渐回复ＨＰ。特雪隐天气为下雪时，闪避率会提高。
双倍多多冰,双倍多多冰,冰,火,1.3,57.5,冰冻之躯,暴风雪宝可梦当愤怒达到极限时，就会喷出暴风雪，把敌人和伙伴都冻成冰块。天气为下雪时，会渐渐回复ＨＰ。特降雪出场时，会将天气变为下雪。
四季鹿,萌芽鹿,一般草,火冰,0.6,19.5,叶绿素,季节宝可梦气味会随季节变迁而改变。初春的气味略带香甜，能使情绪稳定下来。天气为晴朗时，速度会提高。特食草受到草属的招式攻击时，不但不会受到伤害，反而攻击会提高。
萌芽鹿,萌芽鹿,一般草,火冰,1.9,92.5,叶绿素,季节宝可梦角上有很多花的萌芽鹿由于会被花抢走养分，而导致成长速度略显缓慢。天气为晴朗时，速度会提高。特食草受到草属的招式攻击时，不但不会受到伤害，反而攻击会提高。
电飞鼠,电飞鼠,电飞行,冰,0.4,5,静电,飞鼠宝可梦蓄著电在空中飞行。在雷电交加的深夜里，牠们甚至会密密麻麻地布满整个天空。身上带有静电，有时会令接触到的对手麻痺。
盖盖虫,骑士蜗牛,虫,火,0.5,5.9,虫之预感,啃咬宝可梦有著会对电能产生反应的奇异体质。和小嘴蜗待在一起就会进化。ＨＰ减少的时候，虫属的招式威力会提高。特蜕皮透过蜕去身上的皮，有时会治愈异常状态。
骑士蜗牛,骑士蜗牛,虫钢,火,1,33,虫之预感,骑兵宝可梦抢走小嘴蜗的壳，将自己全副武装。在伽勒尔地区，骑士蜗牛非常受到人们喜爱。 ＨＰ减少的时候，虫属的招式威力会提高。特硬壳盔甲被坚硬的壳保护着，对手的攻击不会击中要害。
哎呀球菰,败露球菰,草毒,火冰,0.2,1,孢子,蘑菇宝可梦据说开发精灵球的人很喜欢哎呀球菇，但不知是真是假。透过攻击有时会使接触到自己的对手，陷入中毒、麻痺或睡眠状态。
败露球菰,败露球菰,草毒,火冰,0.6,10.5,孢子,蘑菇宝可梦小心牠喷出的毒孢子。因为被喷到的地方会长出蘑菇，形状像是败露球菇的菌伞。透过攻击有时会使接触到自己的对手，陷入中毒、麻痺或睡眠状态。
轻飘飘,胖嘟嘟,水幽灵,草电,1.2,33,储水,漂浮宝可梦会用薄纱般的手脚缠住猎物，将对手拖进８０００公尺深的海中。受到水属的招式攻击时，不会受到伤害，而是会回复。特诅咒之躯受到攻击时，有时会把对手的招式变为定身法状态。
胖嘟嘟,胖嘟嘟,水幽灵,草电,2.2,135,储水,漂浮宝可梦身体的绝大部分都由与海水相同的成分组成。会把沉船当成自己的城堡。受到水属的招式攻击时，不会受到伤害，而是会回复。特诅咒之躯受到攻击时，有时会把对手的招式变为定身法状态。
保母曼波,保母曼波,水,草电,1.2,31.6,治愈之心,看护宝可梦会用鱼鳍温柔地抱住受伤或是虚弱的宝可梦，并用特殊的黏膜加以治疗。有时会治愈同伴的异常状态。特湿润之躯天气为下雨时，会治愈异常状态。
电电虫,电蜘蛛,虫电,火,0.1,0.6,复眼,吸附宝可梦会附在宝可梦的身上吸收静电。自身并没有制造电的能力。因为拥有复眼，会提高招式的命中率。特紧张感让对手感到紧张，无法吃树果。
电蜘蛛,电蜘蛛,虫电,火,0.8,14.3,复眼,电蜘蛛宝可梦发射腹部带电的毛来攻击。要是被牠的毛刺中，就会全身麻痺三天三夜。因为拥有复眼，会提高招式的命中率。特紧张感让对手感到紧张，无法吃树果。
种子铁球,坚果哑铃,草钢,火,0.6,18.8,铁刺,刺果宝可梦会发射尖刺来保护自己。需要反复训练才能将尖刺准确地射中目标。用铁刺给予接触到自己的对手伤害。
坚果哑铃,坚果哑铃,草钢,火,1,110,铁刺,刺球宝可梦用尖刺刺裂岩壁之后，牠会用触手的尖端接触裂缝吸收营养。用铁刺给予接触到自己的对手伤害。
齿轮儿,齿轮组,钢,火,0.3,21,正电,齿轮宝可梦２个身体比双胞胎还要亲近。要是换成别的齿轮儿，就没有办法好好咬合。正电场上的伙伴之中，如果有正电或负电特性的宝可梦，自己的特攻会提高。特性负电场上的伙伴之中，如果有正电或负电特性的宝可梦，自己的特攻会提高。
齿轮组,齿轮怪,钢,火,0.6,51,正电,齿轮宝可梦如果认真起来，大齿轮外圈的齿轮会和小齿轮完全接合。此时转速将会大幅提升。正电场上的伙伴之中，如果有正电或负电特性的宝可梦，自己的特攻会提高。特性负电场上的伙伴之中，如果有正电或负电特性的宝可梦，自己的特攻会提高。
麻麻小鱼,麻麻鳗,电,地面,0.2,0.3,飘浮,齿轮宝可梦会从尖刺的前端发出强力电击。红色核心里填充著非常多的能量。从地面浮起，从而不会受到地面属招式的攻击。
麻麻鳗,麻麻鳗鱼王,电,地面,1.2,22,飘浮,电鱼宝可梦圆圆的花纹是发电器官。会先缠住对手，然后把花纹压在对手身上后放出电流。从地面浮起，从而不会受到地面属招式的攻击。
麻麻鳗鱼王,麻麻鳗鱼王,电,地面,2.1,80.5,飘浮,电鱼宝可梦用手臂的力量从大海里爬出，袭击水边的猎物。会瞬间将猎物拖入海中。从地面浮起，从而不会受到地面属招式的攻击。
小灰怪,大宇怪,超能力,虫,0.5,9,心灵感应,脑宝可梦当牠站在电视机旁边时，画面上会出现奇怪的景色。据说那是牠的故乡。预测我方的攻击，并闪避其招式。特同步将自己的中毒、麻痺或灼伤状态传染给对手。
大宇怪,大宇怪,超能力,虫,1,34.5,心灵感应,脑宝可梦如果大宇怪出现在牧场里，那么就会有１只毛毛角羊在不知不觉间消失。nan
烛光灵,灯火幽灵,幽灵火,水,0.3,3.1,引火,蜡烛宝可梦头上燃烧著的烛光让牠的身体保持微热。会拉著迷路孩子的手，将他们带向灵界。受到火属的招式攻击时，吸收火焰，让自己使出的火属招式变强。特火焰之躯有时会让接触到自己的对手陷入灼伤状态。
灯火幽灵,水晶灯火灵,幽灵火,水,0.6,13,引火,油灯宝可梦由于牠会在人类临终时出现，人们因此认为牠是死神的使者，对牠畏惧不已。受到火属的招式攻击时，吸收火焰，让自己使出的火属招式变强。特火焰之躯有时会让接触到自己的对手陷入灼伤状态。
水晶灯火灵,水晶灯火灵,幽灵火,水,1,34.3,引火,引诱宝可梦住在古老的洋楼里。诡异地摇晃手臂上的火焰，以此来催眠对手。受到火属的招式攻击时，吸收火焰，让自己使出的火属招式变强。特火焰之躯有时会让接触到自己的对手陷入灼伤状态。
牙牙,斧牙龙,龙,冰龙,0.6,18,斗争心,牙宝可梦居住在建造于地面的巢穴。古时候的人曾经拿牠的牙齿来代替菜刀。面对别相同的对手，会燃起斗争心，变得更强。面对别不同的对手时则会变弱。特破格可不受特
斧牙龙,双斧战龙,龙,冰龙,1,36,斗争心,颚斧宝可梦牙齿一旦折断就不会再次生长，因此除非是关键时刻，牠都会避免使用牙齿。面对别相同的对手，会燃起斗争心，变得更强。面对别不同的对手时则会变弱。特破格可不受特
双斧战龙,双斧战龙,龙,冰龙,1.8,105.5,斗争心,颚斧宝可梦会把洞窟或废矿山当成睡床。平时个性温顺，但牙齿一旦被摸到就会暴怒，千万要小心。面对别相同的对手，会燃起斗争心，变得更强。面对别不同的对手时则会变弱。特破格可不受特
喷嚏熊,冻原熊,冰,火,0.5,8.5,雪隐,结冰宝可梦经常出现在寒冷地带的海边。没挂著一沱鼻涕的时候，就代表牠可能是生病了。天气为下雪时，闪避率会提高。特拨雪天气为下雪时，速度会提高。
冻原熊,冻原熊,冰,火,2.6,260,雪隐,冻结宝可梦性情残暴的肉食性宝可梦。会吐出寒气把捕获的猎物冻结起来保存。天气为下雪时，闪避率会提高。特拨雪天气为下雪时，速度会提高。
几何雪花,几何雪花,冰,火,1.1,148,飘浮,结晶宝可梦会出现在寒冷的季节。据说牠是在雪山死去的宝可梦或人类转生而来的。从地面浮起，从而不会受到地面属招式的攻击。
小嘴蜗,敏捷虫,虫,火,0.4,7.7,湿润之躯,蜗牛宝可梦一旦被敌人袭击，便会关上壳盖保护自己。不过盖盖虫能打得开。天气为下雨时，会治愈异常状态。特硬壳盔甲被坚硬的壳保护着，对手的攻击不会击中要害。
敏捷虫,敏捷虫,虫,火,0.8,25.3,湿润之躯,脱壳宝可梦行动迅速，会喷出毒液来战斗。敏捷虫担纲主角的电影和漫画拥有极高的人气。天气为下雨时，会治愈异常状态。特黏着道具会黏在具有黏的身体上，不会被对手夺走。
泥巴鱼,泥巴鱼,地面电,水草,0.7,11,静电,陷阱宝可梦潮间带便是牠的巢穴。制造电的器官由于泥里的细菌而发达起来。身上带有静电，有时会令接触到的对手麻痺。特柔软因为身体柔软，不会陷入麻痺状态。
